0.5	0.5	0
0.526271	0.47623	0.1
0.555175	0.454842	0.2
0.586852	0.435732	0.3
0.621455	0.41881	0.4
0.659143	0.404003	0.5
0.70008	0.391253	0.6
0.744432	0.380525	0.7
0.792365	0.371802	0.8
0.844035	0.365092	0.9
0.899587	0.36043	1
0.959141	0.357881	1.1
1.02279	0.357545	1.2
1.09056	0.359565	1.3
1.16245	0.364131	1.4
1.23835	0.371489	1.5
1.31802	0.381957	1.6
1.40111	0.39593	1.7
1.48708	0.413901	1.8
1.57513	0.436472	1.9
1.66419	0.464372	2
1.75287	0.498473	2.1
1.83934	0.539794	2.2
1.92133	0.589496	2.3
1.99608	0.648857	2.4
2.06036	0.719197	2.5
2.11053	0.801763	2.6
2.14274	0.897525	2.7
2.15325	1.0069	2.8
2.13884	1.12942	2.9
2.09743	1.26332	3
2.02856	1.40533	3.1
1.9339	1.55053	3.2
1.81725	1.69268	3.3
1.68427	1.82485	3.4
1.54174	1.94032	3.5
1.39656	2.0335	3.6
1.25493	2.10073	3.7
1.12164	2.14047	3.8
0.999883	2.15329	3.9
0.891328	2.14137	4
0.796385	2.10795	4.1
0.714593	2.05682	4.2
0.644956	1.99181	4.3
0.586219	1.91653	4.4
0.537061	1.83419	4.5
0.49621	1.74753	4.6
0.462513	1.65878	4.7
0.434959	1.56974	4.8
0.412687	1.48179	4.9
0.394974	1.39598	5
0.381227	1.31308	5.1
0.370958	1.23363	5.2
0.363777	1.15798	5.3
0.359372	1.08633	5.4
0.3575	1.01881	5.5
0.357974	0.955412	5.6
0.360653	0.896104	5.7
0.365441	0.840791	5.8
0.372274	0.789352	5.9
0.381119	0.741641	6
0.391969	0.6975	6.1
0.404842	0.656765	6.2
0.419776	0.619269	6.3
0.436829	0.584848	6.4
0.456074	0.553343	6.5
0.477603	0.524604	6.6
0.501522	0.498488	6.7
0.527949	0.474865	6.8
0.557016	0.453619	6.9
0.588867	0.434644	7
0.623652	0.417852	7.1
0.661533	0.403171	7.2
0.702672	0.390545	7.3
0.747237	0.379939	7.4
0.795393	0.371337	7.5
0.847294	0.36475	7.6
0.903086	0.360214	7.7
0.962886	0.357796	7.79999
1.02678	0.357599	7.89999
1.09481	0.359768	7.99999
1.16695	0.364495	8.09999
1.24308	0.372032	8.2
1.32297	0.382701	8.3
1.40626	0.396902	8.4
1.49237	0.415133	8.5
1.58051	0.438005	8.6
1.6696	0.466255	8.7
1.7582	0.500764	8.8
1.84447	0.542559	8.9
1.9261	0.59281	9
2.00031	0.652799	9.1
2.06384	0.723847	9.2
2.11303	0.80719	9.3
2.14403	0.903774	9.4
2.15311	1.01397	9.5
2.13711	1.13724	9.6
2.09402	1.27175	9.7
2.02353	1.4141	9.8
1.9274	1.55931	9.9
1.80958	1.70106	10
